Year;2020.0
;
Row Labels;Count of Value
Kosovo;
Liberia;
Uganda;
New Caledonia;
Gambia;
Sierra Leone;
DR Congo;
Taiwan;
Albania;1
Lithuania;1
Macedonia;1
Belize;1
Malawi;1
Bolivia;1
Malaysia;1
Botswana;1
Malta;1
Bulgaria;1
Mexico;1
Cambodia;1
Moldova;1
Canada;1
Mongolia;1
China;1
Montenegro;1
Costa Rica;1
Morocco;1
Croatia;1
Mozambique;1
Denmark;1
Namibia;1
Argentina;1
Nepal;1
Egypt;1
Netherlands;1
Estonia;1
Azerbaijan;1
Finland;1
New Zealand;1
Armenia;1
Nigeria;1
Germany;1
Oman;1
Greece;1
Panama;1
Guyana;1
Paraguay;1
Honduras;1
Peru;1
India;1
Philippines;1
Ireland;1
Portugal;1
Italy;1
Qatar;1
Jordan;1
Romania;1
Kenya;1
Russia;1
Kyrgyz Republic;1
Rwanda;1
Australia;1
Saudi Arabia;1
Benin;1
Senegal;1
Brazil;1
Serbia;1
Cameroon;1
Seychelles;1
Colombia;1
Bahamas;1
Czech Republic;1
South Africa;1
Ecuador;1
South Korea;1
Ethiopia;1
Spain;1
Georgia;1
Sri Lanka;1
Guatemala;1
St. Lucia;1
Hong Kong;1
Sweden;1
Israel;1
Bahrain;1
Kazakhstan;1
Tajikistan;1
Latvia;1
Thailand;1
Bosnia and Herzegovina;1
Togo;1
Chile;1
Trinidad and Tobago;1
Dominican Republic;1
Tunisia;1
France;1
Turkey;1
Haiti;1
Turkmenistan;1
Jamaica;1
Bangladesh;1
Belarus;1
Ukraine;1
Cote d'Ivoire;1
United Arab Emirates;1
Ghana;1
United Kingdom;1
Angola;1
United States;1
El Salvador;1
Uruguay;1
Burkina Faso;1
Uzbekistan;1
Indonesia;1
Vietnam;1
Grand Total;107
